■和訳
'cause	[短] = because
caddy	[俗]　キャディラックの略
calculate	計算する
calculating	計算用の
Cali	[俗]　カルフォルニアの略
can	できる
candidate	志願者
candidates	志願者
cannot	できない
cap	帽子
capabilities	（将来伸びる）素質
capability	能力，才能
capable	有能な
capacity	容積，容量
capital	資本
capitalism	資本主義
captivate	虜にする，うっとりさせる，魅惑する
captivated	虜にした，魅惑した
captivation	魅惑
capture	惹き付ける
card	入場券
cards	カルタ遊び，トランプ遊び
care	心配，苦労
care about	を気にする
careful	注意深い，用心深い
carry	運ぶ
carry out	実行する，遂行する
cartoon	漫画
case	場合，事情，立場，実情，真相
casino	カジノ
cast	投げる，配役する，配役
castle	城
catalog	[英] 目録　[米] = catalogue
catalogue	[米] 目録　[英] = catalog
catch	捕まえる，受け止める，理解する，（注意を）引く，追い付く
catch up with	～に追い付く
categorize	分類する
catfish	鯰
cause	原因，根源，元
cavern	大洞穴(large cave)
cell	細胞，個室，巣穴，独房
center	中心，中央，真中
century	世紀，100年
certain	確かな，正確な，確実な
certainly	確かに，きっと
chain	鎖，連鎖
chair	椅子
chairman	議長
challenging	手強い，厳しい，難しい
chance	機会
change	変化，変更，変える，変更する，両替する，乗り換える
chapter	章
character	記号，文字，字体，特徴，特性，性質，性格，品性，人格，人物
charge	料金，費用，負担金，税金
chat	雑談，談笑する
check	[米] 検査，照合　[英] = cheque
check this out	[俗]　よく聞いてくれ：相手の注意を引く時によく使われる
checking account	当座預金
cheque	[英] 検査，照合　[米] = check
Chi-town	[俗]　シカゴの俗称
chief	長官，首長
childhood	幼時，幼年時代
children	子供
chill	寛ぐ
chip	木片，破片，かけら
choice	選択
Choir	教会の聖歌隊
choose	選ぶ
chronicle	年代記，記録
church	教会
circa	およそ，ほぼ，約；通例 c. と略し不明な年号などに付ける
circle	円
circumstances	事情
city	市，都会，都市
claim	要求する，請求する，主張する，要求，請求主張
class	社会階級，学級，組，授業，講習，等級，種類
classic	古典，古典的な
classify	分類する，類別する
clean	きれいな，清らかな，見事な
cleaner	綺麗好き
clear	澄んだ，晴れた，冴えた，取り除く，取り払う
clever	才気ある，機知のある，利口な，賢い
click	カチッと鳴る（鳴らす），カチッという音
climb	よじ登る
close	閉じる
co-	[接頭詞] 共同，共通，同等
code	法典，慣例，符号，暗号
coffin	棺
cold boot	= cold start 休止状態のコンピューターに電源を入れて、システムを起動すること
collaboration	協力，共同制作
collapse	崩壊，倒壊，壊滅，崩壊する，
collection	収集品，集めたもの
color	色
colored	色を付けた
coloring	色を付ける
colors	人柄，姿，国旗，軍旗
colour	<英> 色
column	縦欄
combat	戦闘
combination	結合，連合，団結，結社
combine	結合する，連合する，合同する
comfortable	気楽な，安楽な
coming	来るべき，到来
command	命令する，指揮する，率いる，命令，指揮
comment	注釈，評注
commercial	営利的な
commercially	商業上，通商上
commit	（罪、悪事を）行う，委託する
commitment	約束，公約，委任，委託
common	共通の
community	共同体，社会
companion	仲間，相手，話し相手，道連れ
company	会社
compare	比較する
comparison	比較，対照，類似
compass	磁石，羅針盤
compatibility	矛盾しないこと，両立できること
compatible	互換がある
competition	競争，試合
competitor	競争相手，競合他社
compilation	編集，編集物
compile	編む，編集する
compiler	編集者
complain	不平を言う，苦情を言う
complete	完全な
completely	完全に
completion	完成，成就
complex	複合の，複雑な
complicate	複雑にする
complicated	複雑になった
compliment	無料の
complimentary	誉め言葉，儀礼的な挨拶
compose	組み立てる
compress	圧縮する，圧搾する
comprised	含む，包含する
compromise	妥協，示談，折衷案
computer	計算機，電子計算機
concentrate	集中する，専心する
concentrate on	注意を集める
concept	概念
concept album	一貫した主題を持ったアルバム
concise	簡明な
conclude	結末を付ける
conclusion	結末，終結，落着
condescend	謙遜する
condition	状態，条件
conduct	行為，行動，行状，品行，導く，指揮する
cone	円錐形
conference	会議，相談
confession	告白，白状
confidence	信頼，信任，信用，秘密
configuration	形状，輪郭，外形，地形
confirmed	確認された，確定された
conflict	闘争，矛盾，衝突，争う，衝突する，矛盾する
conform	確認，確定
conform to	～に従う
confuse	混同する，混乱させる
confused	乱雑な，当惑した
confusion	混同，乱雑，混乱，騒動
conglomerate	集塊状の，集塊
conglomeration	集塊
connect	結合する，つなぐ
connection	連絡，接続，連結，関連，関係，縁故，取引先
conquer	征服する
conqueror	征服者
conquest	征服
conscious	知っている，気付いている
conservative	保守的な，地味な
conservatory	温室
consider	よく考える，熟考する，熟慮する
consist	～から成る
consistent	首尾一貫した
constant	一定の，不変の
constitution	組織
construct	建設する，組み立てたもの	
construction	皇族，建造，建設
construction crew	建設作業員
consult	意見を聞く，相談する，協議する
consumer	消費者
consumers	消費者
contact	接触，連絡，交際
contain	含む
contemporaries	同時代の人たち
contemporary	同時代の
Contemporary Art	現代美術
content	内容，中身
contention	論争，主張，論点，競争
contest	競技
contingency	緊急事態，偶発事故
contingent	不慮の，偶発的な
continually	絶えず，頻繁に
continue	続ける，延長する，継続する
continuous	絶え間ない
continuously	絶えず，絶え間ない
contract	契約
contrast	対照，対比，対照する，対比する
control	支配する，管理する，監督する，競争する，強制する，操縦する，調節する，対策
controller	支配者，監督官，制御装置
convenience	便利，便宜，好都合
convenient	便利な，好都合な
convention	慣例，因習，しきたり
conventional	慣例の，因習的な，月並みの
conversation	会話
convert	変換する
convince	確信させる，納得させる
coodinate	同等の，同格の，同等にする，釣り合わせる，調整する
coodination	同等にすること，釣合，調整
cool stuff	素晴らしいこと
cooler	冷却装置
copy	複写，模写
copywrite	版権，著作権
cord	網，紐，コード
corn	穀物
corner	かど，街角，隅
corporation	法人
correct	訂正する
correction	訂正
correctly	正しく
correspond	一致する，符号する，釣り合う
corresponding	相当する，対応する，符合する
cos	[俗] becauseの省略形
cost	費用
could've	[短] = could have
council	会議，評議会，協議会
count	数える
counter	売り台，計算機
countless	数え切れない，無数の
country	国，祖国
countryman	同胞，田舎者
couple	対，一組
courage	勇気
course	道筋，進路，推移，方針，課程，教科，講座
court	宮廷，中庭
cover	被う，包む
coward	臆病者
crack	ひび，割れ目，傷，欠点
craft	専門技術，職人芸
craftsman	職人，熟練工
crash	破滅，失墜，墜落，撃墜，大音響を立てて崩れる
crawl	のろのろ進む
create	創造する，創作する
creation	創造，創作
creatures	生き物，動物
crossbow	石弓
crossing	横切ること，横断
crowded	混雑した
crown	王冠，王位，帝位
crucial	重大な，きわめて重要な
cruel	残酷な，無慈悲な，無情な
cruelty	残酷，残忍，無慈悲
crutches	松葉杖
cry	叫ぶ，泣く
cultural	文化的
culture	耕作，栽培，教養，文化，文明
cure	治す，癒す，治療する
curiosity	好奇心
curious	奇妙な，奇態な，珍しい，好奇心に富んだ
curiously	奇妙に，奇態に，変に
current	流通する，流行する，目下の，現在の, 現行の
currently	現在は，目下，一般に，あまねく，流通して
custom	慣習，慣例，風習
customer	顧客，取引先
customs	関税，輸入税
cut	曲
cute	可愛らしい
cutting-edge	最先端の，最新鋭の
cuz	[俗]　becauseの省略形
cycle	周期，循環
daily	毎日
damage	損傷，損害，損傷する
damages	損害賠償
danger	危険，危険物
dangerous	危険な，危ない
dangle	ぶら下げる
dare	～する勇気がある
dark	暗い，黒い，黒ずんだ，陰鬱な，暗黒，闇，夜
darkness	暗黒，闇
dash	突進する
data	根拠，材料，資料
date	年月日，日付
dawn	夜が明ける，夜明け
day	昼，昼間
dead	死んだ，枯れた，生命のない
deal	分配する
dear	愛する，親愛なる
death	死
deathwatch	死の番人
debuet	初舞台，初出演，初出場，初登場
Dec.	12月；Decemberの略
decade	10年間
deceive	欺く，騙す
December	12月
decent	見苦しくない，穏当な，慎みのある
decide	～を決める，判決する，裁決る
decision	決定，断定
declaration	宣言，布告
declare	言明する，宣言する
decorate	飾る
decoration	飾り
decrease	減少する，減じる，減らす
dedicate	捧げる，献納する，奉納する
dedication	奉納，献納，献身
deed	行為，行動，実行
def	[俗]　格好いい
default	不履行，怠慢，違約
defend	守る，防衛する
define	定義する，明らかにする
definitely	決定的な，最終的な
degree	角度，学位
delete	削る，消す
delicate	微妙な
delight	喜ぶ，喜ばせる
delightful	大いに楽しい，実に喜ばしい
deliver	引き渡す，届ける，配達する
demand	要求する，要求
demonstration	示威行動
deny	断る，否定する，否認する
department	部，部門
depend	当てにする，次第である
dependant	～による，次第である
dependent	～による，次第である
deplete	使い果たす，枯渇させる
deposit	預金
describe	描写する
description	叙述，記述，描写
desert	砂漠，荒野
design	計画，設計図，図案，計画する，設計する，図案を書く
designate	指定する
designed	計画的の，設計した
designers	意匠設計家，図案家
desirable	望ましい，願わしい
desire	欲望，願望
despair	絶望，断念
despise	軽蔑する，蔑む
despite	～にもかかわらず
destination	目的地，届け先
destroy	破壊する
destructive	破壊的な，有害な
detached	分離した，離れた
detail	細部
detailed	詳細な
detect	発見する
detective	探偵
determine	決定する
determined	決心した
develop	開発する，発見する，発達する，発達させる
development	発達，発展，開発
deviation	逸脱
device	装置，機器
devil	悪魔
devote	捧げる，専念する
dexterity	器用，機敏，利口
dial	文字盤，回転盤
dialog	対話，問答
dialogue	対話，問答
diamond	金剛石
diary	日記
dictation	口授，命令，書き取り
dictionary	辞書
die	死ぬ
diet	規定食，食事療法を行う
difference	違い，差異
different	違う，異なる，別の
difficult	困難な
difficulty	困難，苦労
dimension	次元
dimly	うす暗く，かすかに，ぼんやりと
ding	ジャン（鐘の音）
dip	ちょっと浸す
direct	指導する，指揮する，命令する，演出する，監督する
direction	方向，方角
directly	直に，直接に
directory	人名録
dis 'n' dat	[俗]　this and that　醜聞　
disable	働けなくなる
disappear	見えなくなる，焼失する，消滅する
disappoint	失望させる，落胆させる
disc	= disk  平円形盤，音盤
disclaim	権利を放棄する
discounts	割引
discover	発見する
discovery	発見
discribe	評する
discription	描写
discuss	討議する，議論する
discussion	議論，討論，討論
disguise	変装する，変装
disk	= disc 平円形盤，音盤
diskette	平円形盤
disorder	無秩序，混乱，騒動
disorganize	組織を破壊する
displace	置き換える，取って代わる
display	展示する，陳列する，陳列
dissimilar	異なる，似ていない
distance	距離
distant	遠い
distill	蒸留する
distinct	はっきりした
distinction	区別，差別，名声
distinctive	はっきりした差異のある，独特の
distribute	分配する，配布する，配給する
distribution	分配，配布，配給
distributor	配給者
divide	分ける
dividend	配当
document	文書，書類
documentation	仕様書
does	～した
doing	すること，行動，活動
dollar	ドル
domain	領域
dome	丸屋根，丸天井
door	戸，戸口，玄関
doorway	戸口，入り口
double	二重の，二倍
doubt	疑う
down	下へ，下に
down to earth	気取りのない，自然体の，気さくな
download	（コンピュータ間でのデータの）移送，複写
downside	欠点
downtown	下町
dozens	ダース
draft	草案
drag	引きずる
dragon	竜
drama	戯曲，脚本，劇，演劇，芝居
dramatic	劇的な
draught	通風，すきま風
draw	引く，引っ張る
drawer	引出し
drawing	製図，図画
dreadful	恐ろしい，怖い
dream	夢
dress code	服装規定
drift	漂う
drill	練習
drive	運転する，操縦する
drive-by	車を走らせながら発砲すること
driver	運転手
driving	運転すること
due	当然の，正当な
dull	鈍い，遅鈍な，活気のない
dumb	口がきけない
dunno	[短] = don't know
dungeon	土牢
duplicate	二重の，複製の，複製，謄本，写本
during	を通じて
duty	義務
dying	死にかかっている
dynamic	動的な，力強い
dynamite	ダイナマイト
each	おのおのの，それぞれの
eager	熱心な
early	早く
earn	で稼ぐ，で儲ける，を得る
earnest	真面目な
earnings	稼ぎ高，所得，利益，儲け	
earth	地球
easily	容易に
east	東，東方，東部
eastern	東の，東方の
eastward	東側の
easy	容易な
eat	食べる
eclectic	取捨選択する
economic	経済の
economical	経済的な
economics	経済学
edge	刃
editor	編集者
editorial	社説の
educate	教育する
education	教育
educator	教育者
effect	効果，影響
efficiency	能力
effort	努力，力作，労作
efforts	努力，力作，労作
eg	たとえば
eight	8
eighteen	18
eighth	8番目
eighty	80
either	どちらか
eject	取り出す
elect	選ぶ
election	選挙
electonic	電子の
electonics	電子工学
electric	電気の
electricity	電気
elegant	上品な
element	要素
elementary	初歩の
elevator	エレベーター，昇降機
eleven	11
eliminate	削除する
elimination	削除，除去，排除
else	それ以外に
embarrased	困っている
embedded	はめ込む
emergency exit	非常口
empty	からの
emulate	競い合う，倣う
emulator	競争者
enable	可能にする
enclose	取り囲む
encompass	取り囲む，取り巻く，包み込む，包含する
encounter	遭遇する
encourage	奨励する
end	終わり
ending	最終
enemy	敵
engage	～を雇う
engine	エンジン
engineer	技師
engineering	工学
enhance	高める，強める，増す
enhancement	高機能
enhances	強める
enjoy	楽しむ
enjoyable	楽しい
enjoyment	楽しみ
enough	十分な
enroll in	登録する
entering	はいる
entertain	楽しませる
entire	全体の
entirely	全く
entitled	権利を与える
entitles	権利を与える
entrance	入り口
entry	入る
environment	環境
episode	挿話
equal	等しい
equipment	装備
er	[英] はい　[米] = uh
era	時代
erase	消す
eraser	消しゴム
erect	直立した，直立させる
erroneous	誤った
error	間違い，誤り
escape	逃げる，脱出する
especially	特に
essential	本質の，本質的，要素，要点
essentially	本質的に，実質上
establish	確立する
establishment	施設
estimate	見積もる，評価する
even	等しい
evening	晩
event	出来事
eventual	結局の
eventuality	不慮の事件，万一の場合
eventually	結局，遂に
ever	かつて
every	すべての
everybody	誰も彼も
everyday	毎日
everyone	誰も彼も
everything	何もかも皆
everywhere	どこでも
evrey	すべての
exact	正確な
exactly	正確に
exam	試験
examination	試験
examine	試験する
example	例
excel	～をしのぐ
excellent	優れている
except	除く
exception	例外
excerpts	抜粋
excess	行き過ぎた行為，超過
exchange	交換する
excite	興奮させる
excitement	興奮
exciting	興奮させる，はらはらさせる，手に汗を握るような
exclaim	大声で叫ぶ
excuse	許す
executable	実行可能な
execute	実行する
exercise	練習
exhibit	展示する
exhibition	展示会
exhibitions	表示
exist	存在する
existance	存在
exit	出口
exiting	退出する
expand	広げる，拡大する
expanded	拡張した
expect	予期する
expensive	高価な
experience	体験する
experiment	実験
expert	専門家
expertise	専門技術
explain	説明する
explanation	説明
explode	爆発する
exploration	探検
explore	探検する
explored	調査した
explorer	探検家
explosion	爆発
explosive	爆発性の
export	輸出
express	表現する
expression	表現
extend	伸ばす，延長する，広げる
extended	伸ばした，延長した，伸びた，長い，広い
extension	拡張，延長
extensive	広い
extensively	広範囲に渡って
extent	広さ，大きさ，範囲，程度
exterior	外部，外観，外面
external	外部の，外面の，外界の，外部，外面
externals	外観
externaly	外部に，外的に
extra	特別の，余分，随時の，号外，臨時雇い
extract	抜粋する，摘出する，抽出する，抜書き，抜粋，引用句
extraction	抽出，抜粋，引用
extraordinarily	並外れて，異常な
extraordinary	非凡な
extreme	極端な
extremely	極端に
faced	直面した
facilitating	容易にする
fact	事実
factor	要因
factory	工場
fail	失敗する
failure	失敗
fair	公正な
fairly	かなり
faithful	忠実な
fall	落ちる
familiar	親しい
family	家族
famous	有名な
fan	扇，団扇，贔屓
fantasy	空想，幻想
fantasy	幻想文学作品，時に空想科学小説
far	遠くに
fare	料金
farewell	別れ
farther	もっと先の
fast	速い
fasten	締める
faster	速さ
fastest	最も速い
fatal	運命の，宿命的な，命取りの，致命的な
fatalism	宿命論，宿命観
fatalist	宿命論者
fate	運命，天命
fated	運命によって定まっている，運命の尽きた
fateful	宿命的な
fatefully	宿命的に
fault	欠点
favor	好意
favorably	好意的に
favorite	お気に入りの
favour	好意
favourably	好意的に
favourite	大好きな
fear	恐れ
fear of height	高所恐怖症
featured	特徴を示す
features	特色
featuring	呼び物とする
Feb.	Februaryの略，2月
February	2月，Feb.は略
fee	料金
feel	触る
feeling	気持ち
feet	フィート
fellow	仲間
fetch	取って来る
feudal	封建制の
fever	熱狂
few	少しの
fiction	作り話
field	範囲
fiery	炎の，燃え盛る，火のような，熱烈な，
fifteen	15
fifth	5番目
fifty	50
fight	戦う
fighter	戦士
fighters	戦士
figure	図形
file	書類
fill	満たす
final	最後の
finally	最後に
find	見つける
fine	すばらしい
finish	終わり
firm	しっかりしている
firm	会社
firmly	しっかりと
first	一番目
fit	適当な
fitness	適切
five	5
fix	固定する
flag	旗
flash	ぱっと光る
flat	平らな
flavour	味，風味，趣き
flee	逃げる
fleeing	逃げる
flier	飛行士
flight	飛行
fling	投げる
float	浮く
floating	浮いている
floor	床
floors	床
floppy	フロッピー
flow	流れ
flower viewing	お花見
fly	飛ぶ
foe	敵
fog	霧
fold	～を折り畳む
folk	人々
folks	人々
follow	の後に続く
following	次の
food	食料
force	影響力
forest	森林
forever	永遠に
forget	忘れる
forgetful	忘れっぽい
forgiveness	寛大さ
form	形
formal	形式的
format	初期化する
former	かっての，元の；former soldier 元兵士
forth	前へ
fortunate	幸運な
fortunately	幸運にも
fortune	運命
forty	40
forward	前方へ
found	探す
four	4
fourteen	14
frame	枠
free	自由
freedom	自由
freely	自由に
freeze	凍る
frequent	頻繁な
frequently	たびたび
fresh	新鮮な
friar	修道士
friday	金曜日
friendlier	より親切な
friendly	親切な
frighten	ぎょっとさせる
from	～から
front	前
frontman	表看板，客引き，呼び込み，指揮者，総合司会者
fruit	成果
full	すべての
function	機能
functionality	機能
furnished	備えた
further	さらに
fuse	融合する，融合された
future	未来
gain	得る
gained	増えた
game	遊戯，勝負，競技，試合
games	遊戯，勝負，競技，試合
garage	車庫
garbled	ゆがんだ
gate	門
gather	集める
gathered	集める
gazette	新聞(官報)
general	一般的の
generally	一般に
generate	起こす
generate	生じる
generated	発生した
generator	発電機
generous	寛大な
get	得る
ghost	幽霊
giant	巨大な
gift	贈り物
gig	1回の出演，仕事，出演契約
give	与える
given	特定の
gives	与える
glad	うれしい
gladly	喜んで
glee	大喜び
go	行く
goin'	[短] going
gold	金
golden	金の
gonna	[短] = going to
good	良い
goodness	善良さ
goods	商品
goodwill	好意
gorgeous	豪華な
gossip	うわさ話
gotta	[短] = got to	
govern	統治する
governed	管理する
grab	掴まえる
grace	優美，上品，気品
gracefull	優美な，上品な，しとやかな
grade	等級
gradually	しだいに
graid	等級
grand	壮大な，雄大な，壮麗な，[米口語] 1000ドル
granted	許す
graph	図式，図表
graphical	絵のような
grateful	感謝している
gray	灰色
great	偉大な
greater	より大きいもの
greatly	非常に
greedy	欲の深い
greement	同意
green	緑色
greeting	挨拶
grey	灰色
grip	握り
ground	地面
grouping	組合せる
grow	成長する
grown	成長した
guard	～の番をする
guess	～を推測する
guess	推測する
guest	客
guide	手引き
guitarist	ギター奏者
gun	鉄砲
guttural	（声が）喉から出る
guttural voice	喉声で
habit	習慣
had	していた
half	半分
halfway	途中に
ham	酔っ払っている放浪者
hand	手
hand out	～を配る
handful	ひとつかみ
handling	取扱い
hands	手
hang	掛ける
happen	起こる
happens	起こる
happily	幸福に
happiness	幸福
happy	幸福
harder	激しい
hardly	ほとんど
harry	急ぐ
hatch	卵を孵す
haunt	現れる
haunting	耐えず心に浮かぶ，忘れられない
have	持っている
having	所有
hazard	危険
hazardous	危険な
he	彼
head	頭
heading	見出し
headlong	まっさかさまに
heal	癒す
health	健康
healthy	健康な
hear	聞く
heavily	ひどく
heavy	重い
height	高さ
help	助け
helper	援助者
helpful	役に立つ
helping	手助けする
her	彼女の
here	ここに
herein	この中に
herself	彼女自身
hexadecimal	16進数
hidden	隠された
hide	隠す
high	高い
higher	より高い
highest	高い
highlight	最高潮の場面
highlighted	最も目立つ
highly	高く
higt	高い
him	彼を
himself	彼自身
hint	ヒント
hire	雇う
his	彼の
historical	歴史の，歴史上の，歴史的な
historical figure	歴史上の人物
hit	打つ，当てる，襲う
hobo	汽車にタダ乗りして、あちこち放浪する生活
hold	抱える，握る，保つ，拘留する，保留する，所有する，保持する，持続する，適用される
homage	尊敬
homemade	自家製の，手製の
hometown	郷里の町
homework	宿題，内職
honest	正直な
honesty	正直
honor	名誉，名声，敬意
honour	名誉
hop	跳ぶ
horizon	地平線
horizontal	水平の
host	主人，主催者，当番
hot	熱い
hour	時間
hourglass	砂時計
hours	時間
house	家
housed	家
how	どんなふうに
however	たとえ～でも
huge	巨大な
human	人間の
human beings	人間
humble	慎ましい
humid	湿気の多い，湿っぽい
humidity	湿度
hundred	100
hurdle	障害物
hurry	急ぐ
I realized	よく分かるよ
